time_str,range_meas_m,azimuth_meas_deg,radial_vel_meas_ms,range_true_m,azimuth_true_deg,radial_vel_true_ms,lat_deg,lon_deg
nan,,,,,,,,
2001-09-11 08:00:43,1156667.326,68.761389,-267.2931,1173634.918,66.443001,-267.4602,37.10392333,121.95291900
2001-09-11 08:01:13,1150922.538,70.394647,-263.1226,1166233.185,66.718939,-263.8962,36.88513314,121.91044596
nan,,,,,,,,
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:03:13,1116992.148,71.583544,-249.4723,1137722.400,67.855477,-248.8916,36.69228163,121.69016598
nan,,,,,,,,
2001-09-11 08:04:13,1114945.250,73.948515,-240.0983,1124154.607,68.444159,-240.9528,36.39553569,121.62863195
2001-09-11 08:04:43,1095804.096,70.173984,-236.2157,1117549.848,68.743794,-236.8788,36.84204766,121.57983461
2001-09-11 08:05:13,1093848.217,71.848129,-232.8403,1111067.152,69.047033,-232.7373,36.63169327,121.54319253
nan,,,,,,,,
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:07:13,1086740.340,74.862863,-215.0605,1086394.144,70.297182,-215.5398,36.25623626,121.42480902
nan,,,,,,,,
2001-09-11 08:08:13,1059438.466,76.185337,-207.2404,1074836.304,70.945399,-206.5977,36.07451370,121.20396989
nan,,,,,,,,
2001-09-11 08:09:13,1028865.927,75.648649,-197.4934,1063813.863,71.609693,-197.4581,36.10870972,121.02252172
2001-09-11 08:09:43,1040496.929,77.281097,-192.9713,1058506.711,71.948024,-192.8227,35.93255914,121.03593056
2001-09-11 08:10:13,1029529.432,76.362883,-187.9642,1053337.157,72.290563,-188.1481,36.02771791,120.99983525
2001-09-11 08:10:43,1029373.568,74.680160,-183.0589,1048306.233,72.637373,-183.4382,36.22083290,121.05976940
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:12:13,1036400.366,77.847340,-167.5874,1034053.889,73.704081,-169.1340,35.86538769,120.98439098
2001-09-11 08:12:43,1025356.705,78.567812,-164.5759,1029585.569,74.068630,-164.3207,35.77705238,120.87722734
2001-09-11 08:13:13,1009067.570,78.331990,-159.4917,1025259.353,74.437779,-159.4912,35.79128140,120.77679498
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:14:43,985769.535,79.645161,-144.7176,1013136.300,75.573503,-144.9442,35.63430308,120.54965667
2001-09-11 08:15:13,1001131.057,79.011938,-139.5198,1009380.917,75.961730,-140.0882,35.71186967,120.68934855
2001-09-11 08:15:43,993299.538,78.378894,-135.6788,1005768.300,76.354898,-135.2348,35.77450456,120.66559835
2001-09-11 08:16:13,997809.447,79.997062,-130.3360,1002298.264,76.753074,-130.3873,35.60459291,120.61619971
2001-09-11 08:16:43,981489.712,81.279857,-125.9769,998970.527,77.156329,-125.5491,35.46228524,120.43052013
2001-09-11 08:17:13,986014.306,81.735414,-120.9075,995784.714,77.564730,-120.7233,35.41791827,120.43710870
nan,,,,,,,,
2001-09-11 08:18:13,977336.295,81.607314,-111.1871,989836.922,78.397249,-111.1205,35.42699674,120.38191503
2001-09-11 08:18:43,963159.310,82.304987,-106.2724,987073.776,78.821503,-106.3489,35.35109136,120.23751831
nan,,,,,,,,
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:20:43,960122.110,84.374354,-86.8095,977409.328,80.573412,-87.5138,35.15014791,120.08612731
2001-09-11 08:21:13,965191.301,84.128198,-83.5190,975336.053,81.025448,-82.8771,35.17464278,120.13972641
2001-09-11 08:21:43,948766.717,84.595688,-78.3730,973398.070,81.483240,-78.2722,35.12715343,119.98624818
nan,,,,,,,,
2001-09-11 08:22:43,959794.919,85.586484,-68.3091,969924.007,82.416346,-69.1618,35.03680279,120.00403254
nan,,,,,,,,
2001-09-11 08:23:43,954488.757,88.300939,-59.5715,966978.963,83.373233,-60.1891,34.79430955,119.77565274
2001-09-11 08:24:13,954751.109,86.777712,-55.5739,965702.198,83.860745,-55.7554,34.92838766,119.88481392
2001-09-11 08:24:43,947351.824,88.725010,-50.6979,964554.520,84.354381,-51.3571,34.75952788,119.69024344
nan,,,,,,,,
2001-09-11 08:25:43,944216.886,88.951419,-42.8116,962642.184,85.360245,-42.6662,34.74118130,119.64955387
2001-09-11 08:26:13,941937.590,88.146150,-37.8910,961875.422,85.872579,-38.3731,34.81002078,119.68997970
2001-09-11 08:26:43,929700.893,89.326012,-33.6891,961233.549,86.391247,-34.1143,34.71423702,119.50857803
nan,,,,,,,,
nan,,,,,,,,
nan,,,,,,,,
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:29:43,956125.208,92.551837,-9.4459,959949.775,89.638691,-9.2392,34.44302362,119.47239477
2001-09-11 08:30:13,937198.182,95.182773,-6.2716,960155.085,90.202840,-5.1974,34.26150845,119.11994184
2001-09-11 08:30:43,950058.306,94.341619,-0.9987,960477.908,90.773607,-1.1823,34.31105674,119.28657217
nan,,,,,,,,
nan,,,,,,,,
2001-09-11 08:32:13,939095.839,96.141921,10.1901,962143.876,92.525784,10.7150,34.19216483,119.05885416
2001-09-11 08:32:43,933807.815,96.671651,14.4589,962929.362,93.123164,14.6358,34.16151896,118.97511884
2001-09-11 08:33:13,961520.265,99.172317,18.5355,963828.858,93.727208,18.5362,33.95960061,118.98798453
nan,,,,,,,,
